ID	DL Section	DL Lesson	Simplified Chinese	Selected Traditional	Cleaned1 CC-CEDICT Pinyin	Pinyin Review Notes	Selected Pinyin	Clean CC-CEDICT English definition	Google_Translate_Definition	Selected English definition	Definition Review Notes	Alternate Occurrences
39	1	Greeting 2	也	也	Yě; yě	[2018-11-15 CFox]: No alternate Pinyin available	yě	surname Ye || also / too / (in Classical Chinese) final particle implying affirmation	and also	too	[2018-11-9 NRaoul]: Manual Review Completed	n/a
40	1	Greeting 2	认	認	rèn	[2018-11-15 CFox]: No alternate Pinyin available	rèn	to recognize / to know / to admit	recognize		[2018-11-9 NRaoul]: Definition Meaning is off-topic	认识 (Greeting 2), 认 (Greeting 2), 认真 (Future), 认为 (Work 2)
41	1	Greeting 2	识	識	shí; zhì	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	shí	to know / knowledge / Taiwan pr. [shi4] || to record / to write a footnote	knowledge		[2018-11-9 NRaoul]: Definition Meaning is off-topic	认识 (Greeting 2), 识 (Greeting 2)
42	1	Food 1	吃	吃	chī	[2018-11-15 CFox]: No alternate Pinyin available	chī	to eat / to consume / to eat at (a cafeteria etc) / to eradicate / to destroy / to absorb / to suffer / to stammer (Taiwan pr. for this sense is [ji2])	eat	to eat	[2018-11-9 NRaoul]: Manual Review Completed	吃 (Food 1), 好吃 (Dining 3), 难吃 (Food 3), 吃货 (Internet Slang)
43	1	Food 1	饭	飯	fàn	[2018-11-15 CFox]: No alternate Pinyin available	fàn	food / cuisine / cooked rice / meal / CL: 碗, 頓｜顿	rice	food / cooked rice	[2018-11-15 CFox]: Added cooked rice to the definition because Duolingo also uses that	饭 (Food 1), 饭馆 (Location 2), 早饭 (Daily Routine 1), 午饭 (Daily Routine 1), 晚饭 (Daily Routine 1), 米饭 (Dining 1), 炒饭 (Gourmet 1), 卤肉饭 (Gourmet 2)
44	1	Food 1	鱼	魚	Yú; yú	[2018-11-15 CFox]: No alternate Pinyin available	yú	surname Yu || fish / CL: 條｜条, 尾	fish	fish	[2018-11-9 NRaoul]: Manual Review Completed	n/a
45	1	Food 1	面	面	miàn; miàn	[2018-11-15 CFox]: No alternate Pinyin available	miàn	face / side / surface / aspect / top / classifier for flat surfaces such as drums, mirrors, flags etc || flour / noodles / (of food) soft (not crunchy) / (slang) (of a person) ineffectual / spineless	surface	noodles	[2018-11-9 NRaoul]: Manual Review Completed	面 (Food 1), 前面 (Location 3), 后面 (Location 3), 面包 (Supermarket), 面条 (Dining 1), 外面 (Weather), 里面 (Weather), 拉面 (Gourmet 1), 上面 (Location 5), 下面 (Location 5), 见面 (Daily Routine 3), 面试 (Work 2)
46	1	Food 1	喝	喝	hē; hè	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	hē	to drink / My goodness! || to shout loudly	drink	to drink	[2018-11-9 NRaoul]: Manual Review Completed	喝 (Food 1), 好喝 (Dining 3)
47	1	Food 1	水	水	Shuǐ; shuǐ	[2018-11-15 CFox]: No alternate Pinyin available	shuǐ	surname Shui || water / river / liquid / beverage / additional charges or income / (of clothes) classifier for number of washes	water	water	[2018-11-9 NRaoul]: Manual Review Completed	水 (Food 1), 水果 (Supermarket), 水平 (Languages 2)
48	1	Food 1	茶	茶	chá	[2018-11-15 CFox]: No alternate Pinyin available	chá	tea / tea plant / CL: 杯, 壺｜壶	tea	tea	[2018-11-9 NRaoul]: Manual Review Completed	茶 (Food 1), 珍珠奶茶 (Gourmet 2)
49	1	Food 1	不	不	bù	[2018-11-15 CFox]: No alternate Pinyin available	bù	(negative prefix) / not / no	Do not	not	[2018-11-9 NRaoul]: Manual Review Completed	不 (Food 1), 不客气 (Phrases 1), 对不起 (Phrases 1), 好久不见 (Greeting 4), 不错 (Greeting 4), 不要 (Health 1), 不准 (Transportation), 不好意思 (Invitiation 1), 不但 (People 2)
50	1	Occupation	是	是	shì	[2018-11-15 CFox]: No alternate Pinyin available	shì	is / are / am / yes / to be	Yes	to be	[2018-11-9 NRaoul]: Manual Review Completed	是 (Occupation), 还是 (Dining 1), 但是 (Shopping 3), 总是 (Daily Routine 2)
51	1	Occupation	他	他	tā	[2018-11-15 CFox]: No alternate Pinyin available	tā	he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another	he	he	[2018-11-9 NRaoul]: Manual Review Completed	他 (Occupation), 他们 (Occupation), 其他 (Food 3)
52	1	Occupation	学生	學生	xué sheng	[2018-11-15 CFox]: No alternate Pinyin available	xué sheng	student / schoolchild	student	student	[2018-11-9 NRaoul]: Manual Review Completed	n/a
53	1	Occupation	学	學	xué	[2018-11-15 CFox]: No alternate Pinyin available	xué	to learn / to study / to imitate / science / -ology	learn	to learn	[2018-11-9 NRaoul]: Manual Review Completed	学生 (Occupation), 学 (Occupation), 学校 (Location 3), 上学 (Daily Routine 1), 放学 (Daily Routine 1), 学习 (Hobbies 2), 同学 (School), 科学 (School), 小学 (People 3), 学 (Languages 2), 留学 (Future), 数学 (Exam), 大学 (Exam)
54	1	Occupation	生	生	shēng	[2018-11-15 CFox]: No alternate Pinyin available	shēng	to be born / to give birth / life / to grow / raw / uncooked / student	Raw		[2018-11-9 NRaoul]: Definition Meaning is off-topic	学生 (Occupation), 生 (Occupation), 医生 (Occupation), 生病 (Health 2), 生日 (Invitation 2), 生气 (Personality and Feelings), 先生 (Work), 发生 (Emergency), 生意 (Work 3)
55	1	Occupation	吗	嗎	mǎ; ma	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	ma	see 嗎啡｜吗啡, morphine || (question particle for 'yes-no' questions)	It	question particle for 'yes-no' questions	[2018-11-9 NRaoul]: Manual Review Completed	n/a
56	1	Occupation	她	她	tā	[2018-11-15 CFox]: No alternate Pinyin available	tā	she	she was	she	[2018-11-9 NRaoul]: Manual Review Completed	她 (Occupation), 她们 (Occupation)
57	1	Occupation	你们	你們	nǐ men	[2018-11-15 CFox]: No alternate Pinyin available	nǐ men	you (plural)	you guys	you (plural)	[2018-11-9 NRaoul]: Manual Review Completed	n/a
58	1	Occupation	我们	我們	wǒ men	[2018-11-15 CFox]: No alternate Pinyin available	wǒ men	we / us / ourselves / our	we	we	[2018-11-9 NRaoul]: Manual Review Completed	n/a
59	1	Occupation	他们	他們	tā men	[2018-11-15 CFox]: No alternate Pinyin available	tā men	they	they	they	[2018-11-9 NRaoul]: Manual Review Completed	n/a
60	1	Occupation	们	們	men	[2018-11-15 CFox]: No alternate Pinyin available	men	plural marker for pronouns, and nouns referring to individuals	They	plural marker for pronouns	[2018-11-9 NRaoul]: Manual Review Completed	你们 (Occupation), 我们 (Occupation), 他们 (Occupation), 们 (Occupation), 她们 (Occupation)
61	1	Occupation	老师	老師	lǎo shī	[2018-11-15 CFox]: No alternate Pinyin available	lǎo shī	teacher / CL: 個｜个, 位	teacher	teacher	[2018-11-9 NRaoul]: Manual Review Completed	n/a
62	1	Occupation	医生	醫生	yī shēng	[2018-11-15 CFox]: No alternate Pinyin available	yī shēng	doctor / CL: 個｜个, 位, 名	Doctors	doctor	[2018-11-9 NRaoul]: Manual Review Completed	n/a
63	1	Occupation	她们	她們	tā men	[2018-11-15 CFox]: No alternate Pinyin available	tā men	they / them (for females)	they	they (females)	[2018-11-9 NRaoul]: Manual Review Completed	n/a
64	1	Occupation	老	老	lǎo	[2018-11-15 CFox]: No alternate Pinyin available	lǎo	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough	old		[2018-11-9 NRaoul]: Definition Meaning is off-topic	老师 (Occupation), 老 (Occupation), 老 (People 3), 老板 (Work 2)
65	1	Occupation	师	師	Shī; shī	[2018-11-15 CFox]: No alternate Pinyin available	shī	surname Shi || teacher / master / expert / model / army division / (old) troops / to dispatch troops	division		[2018-11-9 NRaoul]: Definition Meaning is off-topic	老师 (Occupation), 师 (Occupation), 律师 (Business 2)
66	1	Occupation	医	醫	yī	[2018-11-15 CFox]: No alternate Pinyin available	yī	medical / medicine / doctor / to cure / to treat	medical		[2018-11-9 NRaoul]: Definition Meaning is off-topic	医生 (Occupation), 医 (Occupation), 医院 (Location 2)
67	2	Contact	的	的	de; dī; dí; dì	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	de	of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis) || see 的士 || really and truly || aim / clear	of	of	[2018-11-9 NRaoul]: Manual Review Completed	n/a
68	2	Contact	电话	電話	diàn huà	[2018-11-15 CFox]: No alternate Pinyin available	diàn huà	telephone / CL: 部 / phone call / CL: 通 / phone number	phone	telephone	[2018-11-9 NRaoul]: Manual Review Completed	电话 (Contact), 电话卡 (Travel 3)
69	2	Contact	电	電	diàn	[2018-11-15 CFox]: No alternate Pinyin available	diàn	electric / electricity / electrical	Electricity	electricity	[2018-11-9 NRaoul]: Manual Review Completed	电话 (Contact), 电 (Contact), 电脑 (Hobbies 1), 电视 (Entertainment), 电影 (Entertainment), 充电 (Travel 3), 电话卡 (Travel 3), 电梯 (House), 电子邮件 (Communication 2)
70	2	Contact	话	話	huà	[2018-11-15 CFox]: No alternate Pinyin available	huà	dialect / language / spoken words / speech / talk / words / conversation / what sb said / CL: 種｜种, 席, 句, 口, 番	words	language	[2018-11-9 NRaoul]: Manual Review Completed	电话 (Contact), 话 (Contact), 说话 (People 2), 话 (People 2), 电话卡 (Travel 3)
71	2	Contact	号码	號碼	hào mǎ	[2018-11-15 CFox]: No alternate Pinyin available	hào mǎ	number / CL: 堆, 個｜个	number	number	[2018-11-9 NRaoul]: Manual Review Completed	n/a
72	2	Contact	多少	多少	duō shǎo; duō shao	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	duō shǎo	number / amount / somewhat || how much / how many / which (number) / as much as	How many	how many	[2018-11-9 NRaoul]: Manual Review Completed	n/a
73	2	Contact	多	多	duō	[2018-11-15 CFox]: No alternate Pinyin available	duō	many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means 'how'	many	many	[2018-11-9 NRaoul]: Manual Review Completed	多少 (Contact), 多 (Contact), 多 (Invitation 2), 多么 (Culture), 多邻国 (Languages 3), 多儿 (Duo)
74	2	Contact	少	少	shǎo; shào	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	shǎo	few / less / to lack / to be missing / to stop (doing sth) / seldom || young	less	few	[2018-11-9 NRaoul]: Manual Review Completed	多少 (Contact), 少 (Contact), 少 (Dining 3)
75	2	Contact	号	號	háo; hào	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	hào	roar / cry / CL: 個｜个 || ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people	number	"
ordinal number / day of a month"	[2018-11-15 CFox]: Updated the definition	号码 (Contact), 号 (Contact), 号 (Time 1), 信号 (Communication 2)
76	2	Contact	码	碼	mǎ	[2018-11-15 CFox]: No alternate Pinyin available	mǎ	weight / number / code / to pile / to stack / classifier for length or distance (yard), happenings etc	code		[2018-11-9 NRaoul]: Definition Meaning is off-topic	号码 (Contact), 码 (Contact), 密码 (Communication 2), 码 (Communication 2)
77	2	Nation	中国	中國	Zhōng guó	[2018-11-15 CFox]: No alternate Pinyin available	zhōng guó	China	China	China	[2018-11-9 NRaoul]: Manual Review Completed	n/a
78	2	Nation	人	人	rén	[2018-11-15 CFox]: No alternate Pinyin available	rén	man / person / people / CL: 個｜个, 位	people	person	[2018-11-9 NRaoul]: Manual Review Completed	人 (Nation), 家人 (Family 1), 别人 (People 2), 一个人 (Daily Routine 3), 客人 (House)
79	2	Nation	中	中	Zhōng; zhōng; zhòng	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	zhōng	China / Chinese / surname Zhong || within / among / in / middle / center / while (doing sth) / during / (dialect) OK / all right || to hit (the mark) / to be hit by / to suffer / to win (a prize, a lottery)	in	middle	[2018-11-9 NRaoul]: Manual Review Completed	中国 (Nation), 中 (Nation), 中午 (Time 2), 中文 (Hobbies 2), 中间 (Location 5), 初中 (People 3), 高中 (School 2), 中秋节 (Festivals)
80	2	Nation	国	國	Guó; guó	[2018-11-15 CFox]: No alternate Pinyin available	guó	surname Guo || country / nation / state / national / CL: 個｜个	country	country	[2018-11-9 NRaoul]: Manual Review Completed	中国 (Nation), 国 (Nation), 英国 (Nation), 美国 (Nation), 国 (Nation), 韩国 (Entertainment), 德国 (Dining 2), 法国 (Celebration), 国家 (Future), 国际 (Travel 3), 国内 (Travel 3), 多邻国 (Languages 3)
81	2	Nation	哪	哪	nǎ; na; něi	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	nǎ	how / which || (particle equivalent to 啊 after noun ending in -n) || which? (interrogative, followed by classifier or numeral-classifier)	where	how / which	[2018-11-9 NRaoul]: Manual Review Completed	哪 (Nation), 哪儿 (Location 1), 哪里 (Location 3)
82	2	Nation	英国	英國	Yīng guó	[2018-11-15 CFox]: No alternate Pinyin available	yīng guó	United Kingdom 聯合王國｜联合王国 / United Kingdom of Great Britain and Northern Ireland / abbr. for England 英格蘭｜英格兰	United Kingdom	United Kingdom	[2018-11-9 NRaoul]: Manual Review Completed	n/a
83	2	Nation	美国	美國	Měi guó	[2018-11-15 CFox]: No alternate Pinyin available	měi guó	United States / USA / US	United States	USA	[2018-11-9 NRaoul]: Manual Review Completed	n/a
84	2	Nation	英	英	Yīng; yīng	[2018-11-15 CFox]: No alternate Pinyin available	yīng	United Kingdom / British / England / English / abbr. for 英國｜英国 || hero / outstanding / excellent / (literary) flower / blossom	English	British / English	[2018-11-15 CFox]: Completed 1st manual review	英国 (Nation), 英 (Nation), 英语 (Phrases 2), 英文 (Restaurant), 英 (Restaurant)
85	2	Nation	美	美	Měi; měi	[2018-11-15 CFox]: No alternate Pinyin available	měi	the Americas / abbr. for 美洲 / USA / abbr. for 美國｜美国 || beautiful / very satisfactory / good / to beautify / to be pleased with oneself	nice	American	[2018-11-15 CFox]: Completed 1st manual review	美国 (Nation), 美 (Nation), 美术 (School), 美图 (Internet Slang), 美眉 (Internet Slang)
86	2	Nation	都	都	Dū; dōu; dū	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	dōu	surname Du || all / both / entirely / (used for emphasis) even / already / (not) at all || capital city / metropolis	All	all / both	[2018-11-15 CFox]: Completed 1st manual review	n/a
87	2	Nation	对	對	duì	[2018-11-15 CFox]: No alternate Pinyin available	duì	right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple	Correct	correct	[2018-11-15 CFox]: Completed 1st manual review	对 (Nation), 对不起 (Phrases 1), 派对 (Invitation 2), 对 (Hobbies 3)
88	2	Nation	加拿大	加拿大	Jiā ná dà	[2018-11-15 CFox]: No alternate Pinyin available	jiā ná dà	Canada / Canadian	Canada	Canada	[2018-11-15 CFox]: Completed 1st manual review	n/a
89	2	Nation	加	加	Jiā; jiā	[2018-11-15 CFox]: No alternate Pinyin available	jiā	abbr. for Canada 加拿大 / surname Jia || to add / plus / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)	plus		[2018-11-15 CFox]: Completed 1st manual review	加拿大 (Nation), 加 (Nation), 参加 (Sports 2), 加油 (Sports 2), 加 (Internet Slang), 加班 (Work 3)
90	2	Nation	拿	拿	ná	[2018-11-15 CFox]: No alternate Pinyin available	ná	to hold / to seize / to catch / to apprehend / to take / (used in the same way as 把: to mark the following noun as a direct object)	take		[2018-11-15 CFox]: Completed 1st manual review	加拿大 (Nation), 拿 (Nation), 拿 (Travel 4)
91	2	Nation	大	大	dà; dài	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	dà	big / huge / large / major / great / wide / deep / older (than) / oldest / eldest / greatly / very much / (dialect) father / father's elder or younger brother || see 大夫	Big	big	[2018-11-15 CFox]: Completed 1st manual review	加拿大 (Nation), 大 (Nation), 大家 (Invitation 2), 意大利 (Shopping 2), 大 (Shopping 2), 澳大利亚 (Time 4), 大概 (Time 4), 大学 (Exam), 大约 (Weather 2)
92	2	Greeting 3	忙	忙	máng	[2018-11-15 CFox]: No alternate Pinyin available	máng	busy / hurriedly / to hurry / to rush	busy	busy	[2018-11-15 CFox]: Completed 1st manual review	忙 (Greeting 3), 帮忙 (Shopping 1)
